staff_id,Emp_name,email,phone,active,store_id,manager_id
1,FabiolaJackson,fabiola.jackson@bikes.shop,(831) 555-5554,1,1,1
2,MireyaCopeland,mireya.copeland@bikes.shop,(831) 555-5555,1,1,1
3,GennaSerrano,genna.serrano@bikes.shop,(831) 555-5556,1,1,2
4,VirgieWiggins,virgie.wiggins@bikes.shop,(831) 555-5557,1,1,2
5,JannetteDavid,jannette.david@bikes.shop,(516) 379-4444,1,2,1
6,MarceleneBoyer,marcelene.boyer@bikes.shop,(516) 379-4445,1,2,5
7,VenitaDaniel,venita.daniel@bikes.shop,(516) 379-4446,1,2,5
8,KaliVargas,kali.vargas@bikes.shop,(972) 530-5555,1,3,1
9,LaylaTerrell,layla.terrell@bikes.shop,(972) 530-5556,1,3,7
10,BernardineHouston,bernardine.houston@bikes.shop,(972) 530-5557,1,3,7
